Sampler Name, Monolib Shader File
gTResidentTex01, kokuin_mska.witex
gTResidentTex02, kokuin_mskb.witex
gTResidentTex03, TODO
gTResidentTex04, dirt_col.witex
gTResidentTex05, dirt_mask.witex
gTResidentTex06, dirtskin_col.witex
gTResidentTex07, dirtskin_mask.witex
gTResidentTex08, hat_a_ptmsk.witex
gTResidentTex09, hatching_a_ptnrm.witex
gTResidentTex10, TODO
gTResidentTex11, a_armor_env.witex
gTResidentTex12, TODO
gTResidentTex15, TODO
gTResidentTex16, TODO
gTResidentTex17, TODO
gTResidentTex18, TODO
gTResidentTex19, TODO
gTResidentTex43, eyepatch_ao.witex
gTResidentTex44, eyepatch_col.witex
gTResidentTex45, eyepatch_mask.witex
gTResidentTex46, eyepatch_nrm.witex
texDither, dither2.witex